date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:43	5240/5240	---M--	200	added ('OK')	image/webp	date:Wed,%2009%20Feb%202022%2007:02:33%20GMT	https://mintslotienft.com/index_files/walletconnet-logoM.webp	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/walletconnet-logoM.webp	(from https://mintslotienft.com/)
19:48:43	19/19	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2023:48:42%20GMT	https://mintslotienft.com/reg.php?&price=	C:/My%20Web%20Sites/mint/mintslotienft.com/regcf13.html	(from https://mintslotienft.com/)
19:48:44	19/19	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2023:48:43%20GMT	https://mintslotienft.com/reg.php?tx=	C:/My%20Web%20Sites/mint/mintslotienft.com/reg8edb.html	(from https://mintslotienft.com/)
19:48:44	534/534	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:18%20GMT	https://mintslotienft.com/index_files/617c06a06c73e83662779df2_Icon%20-%20Checkmark.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617c06a06c73e83662779df2_Icon%20-%20Checkmark.svg	(from https://mintslotienft.com/)
19:48:45	314385/314385	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:55:57%20GMT	https://mintslotienft.com/index_files/61840c4f5256f471b4ae6fc8_Bitcoin.png	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61840c4f5256f471b4ae6fc8_Bitcoin.png	(from https://mintslotienft.com/)
19:48:46	2224/2224	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:58:47%20GMT	https://mintslotienft.com/index_files/61963767743dccc6b625e3fa_1_yahoo.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61963767743dccc6b625e3fa_1_yahoo.svg	(from https://mintslotienft.com/)
19:48:46	792/792	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:29%20GMT	https://mintslotienft.com/index_files/617fe8d9b1307ac1720b54f0_Icon%20-%20Star.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617fe8d9b1307ac1720b54f0_Icon%20-%20Star.svg	(from https://mintslotienft.com/)
19:48:46	3041/3041	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:19%20GMT	https://mintslotienft.com/index_files/61963e320be55cd14791911f_1_Investing.com%20(1).svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61963e320be55cd14791911f_1_Investing.com%20(1).svg	(from https://mintslotienft.com/)
19:48:47	2779/2779	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:58:52%20GMT	https://mintslotienft.com/index_files/6196378008928c4b8fb8f470_1_coinpedia.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/6196378008928c4b8fb8f470_1_coinpedia.svg	(from https://mintslotienft.com/)
19:48:47	3666/3666	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:07%20GMT	https://mintslotienft.com/index_files/61963dbf99614199516b5eda_1_Bitcoinist%20(2).svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61963dbf99614199516b5eda_1_Bitcoinist%20(2).svg	(from https://mintslotienft.com/)
19:48:47	189662/189662	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:55:30%20GMT	https://mintslotienft.com/index_files/6182a93fa2f9a536664dc782_NFT%20Casino%20Man%20-%20No%20BG%20-%20Gradient.png	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/6182a93fa2f9a536664dc782_NFT%20Casino%20Man%20-%20No%20BG%20-%20Gradient.png	(from https://mintslotienft.com/)
19:48:47	2751/2751	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:19%20GMT	https://mintslotienft.com/index_files/61964d4dd022418c1e3cfa85_1_NEWSBTC%20(2).svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61964d4dd022418c1e3cfa85_1_NEWSBTC%20(2).svg	(from https://mintslotienft.com/)
19:48:48	2321/2321	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:00%20GMT	https://mintslotienft.com/index_files/619637b41fb0de12d0513df3_1_Bloomberg.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/619637b41fb0de12d0513df3_1_Bloomberg.svg	(from https://mintslotienft.com/)
